City_ID,city,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
307,berlevag,70.8578,29.0864,55.11,90,56,7.27,NO,1628730633
308,nowy tomysl,52.3195,16.1284,53.26,70,3,1.9,PL,1628730633
309,ordu,40.9086,37.6845,61.3,93,100,3.44,TR,1628730633
310,ust-nera,64.5667,143.2,74.34,37,100,6.38,RU,1628730633
311,guadalupe y calvo,26.1,-106.9667,58.3,91,100,3.47,MX,1628730634
312,portland,45.5234,-122.6762,104.97,31,20,1.99,US,1628730634
313,letlhakeng,-24.0944,25.0298,53.94,52,4,7.58,BW,1628730634
314,den helder,52.9599,4.7593,62.58,98,90,4.61,NL,1628730634
315,itoman,26.1247,127.6694,84.58,84,75,23.02,JP,1628730635
316,cockburn town,21.4612,-71.1419,82.35,74,8,25.37,TC,1628730635
317,molepolole,-24.4066,25.4951,55.22,48,2,8.48,BW,1628730635
318,gizo,-8.103,156.8419,76.64,91,100,14.81,SB,1628730635
319,kropotkin,45.4375,40.5756,70.54,91,100,3.96,RU,1628730636
320,port augusta,-32.5,137.7667,60.94,64,0,1.1,AU,1628730636
321,tuatapere,-46.1333,167.6833,57.15,71,100,9.93,NZ,1628730636
322,pandan,14.0453,124.1694,85.06,69,100,2.15,PH,1628730636
323,itarema,-2.9248,-39.9167,79.45,82,5,16.4,BR,1628730637
324,pirovskoye,57.6267,92.2658,63.45,91,99,3.78,RU,1628730637
325,salalah,17.0151,54.0924,77.09,83,75,4.61,OM,1628730637
326,oktyabrskoye,43.0645,44.7417,66.34,88,98,2.24,RU,1628730637
327,richmond,37.5538,-77.4603,81.39,85,90,5.75,US,1628730390
328,statesville,35.7826,-80.8873,79.59,61,1,0.0,US,1628730498
329,tilichiki,60.4667,166.1,67.55,46,7,1.83,RU,1628730638
330,mishan,45.55,131.8833,64.53,73,100,11.16,CN,1628730638
331,trelew,-43.249,-65.3051,46.56,60,0,11.79,AR,1628730638
332,broome,42.2506,-75.833,81.18,91,95,4.59,US,1628730638
333,camana,-16.6228,-72.7111,61.03,86,32,6.69,PE,1628730639
